1647,1710,2983,1725,2982,1820,1646,1805,UNIHAKKA INTERNATIONAL SDN BHD
2063,1774,2586,1799,2581,1902,2058,1877,11 Apr 2018 18:13
2163,1886,2488,1886,2488,1966,2163,1966,(867388-U)
1728,1951,2902,1966,2901,2061,1727,2046, 12, Jalan Tampoi 7/4,Kawasan Perindustrian
1876,2046,2761,2054,2761,2134,1875,2127,Tampoi,81200 Johor Bahru,Johor
2120,2126,2511,2135,2509,2215,2118,2207,TAX INVOICE
1574,2192,2422,2208,2420,2303,1572,2287,Invoice # : OR18041102170437
1580,2317,1742,2317,1742,2397,1580,2397,Item
2041,2314,2181,2335,2167,2422,2027,2401,Qty
2901,2324,3056,2324,3056,2412,2901,2412,Total
1567,2396,2541,2427,2538,2523,1564,2491,SR I00100000035-1 Meat +3 Vege
1580,2507,1742,2507,1742,2587,1580,2587,$7.10
2887,2514,3056,2514,3056,2602,2887,2602,$7.10
1574,2616,2378,2632,2376,2727,1572,2711,SR 100100000015- Vegetable
2881,2716,3052,2736,3041,2831,2870,2811,$1.10
1572,2726,1742,2726,1742,2806,1572,2806,$1.10
2503,2872,3042,2880,3041,2960,2502,2952,Total Amount: $8.20
2576,2960,3042,2960,3042,3040,2576,3040,GST @6%: $0.46
2591,3048,3042,3048,3042,3128,2591,3128,Nett Total: $8.20
1565,3150,1971,3150,1971,3230,1565,3230, Payment Mode
2820,3165,3042,3165,3042,3245,2820,3245,Amount
1562,3235,1782,3254,1774,3335,1555,3316,CASH
2864,3260,3042,3260,3042,3340,2864,3340,$8.20
1570,3323,1789,3342,1782,3422,1563,3404,Change
2872,3333,3042,3333,3042,3420,2872,3420,$0.00
1545,3521,1913,3538,1910,3619,1542,3602,GST Summary
2863,3527,3045,3547,3036,3628,2854,3608,Tax{$}
2318,3537,2562,3537,2562,3618,2318,3618,($)unouy
1538,3609,1921,3626,1917,3707,1534,3690,SR = GST @6%
2451,3640,2562,3640,2562,3713,2451,3713,7.74
2923,3640,3034,3640,3034,3713,2923,3713,0.46
1935,3749,2651,3757,2650,3837,1934,3829,GST REG #000656195584
1816,3829,2769,3837,2768,3918,1816,3910,BAR WANG RICE@PERMAS JAYA
1964,3917,2614,3925,2613,4005,1963,3997,(Price Inclusive Of GST)
1935,3997,2614,4005,2613,4086,1934,4078,Thank You & Come Again
1846,4070,2717,4078,2716,4173,1845,4166, Like and Follow Us on Facebook!
1905,4158,2673,4166,2672,4246,1904,4239,Facebook.com/BarWangRice
