48,132,511,130,511,158,48,159,SANYUSTATIONERYSHOP
45,173,502,176,502,201,45,198,NO.31G&33GJALAN SETIA INDAH XU13/X
46,201,246,201,246,221,46,221,40170 SETIA ALAM
43,227,431,225,431,251,43,253,Mobile/Whatsapps:+6012-918 7937
43,257,265,256,265,282,44,284,Tel: +603-3362 4137
48,287,322,287,322,308,48,308,GST ID No: 001531760640
413,299,592,299,592,325,413,325,TAXINVOICE
37,317,142,317,142,339,37,339,Owned By:
37,340,374,340,374,362,37,362,SANYU SUPPLY SDN BHD(1135772-K)
43,395,300,395,300,415,43,415,CASH SALES COUNTER
54,455,192,455,192,477,54,477,1.7002-0014
273,455,578,455,578,477,273,477,SONOFAX-ECTHERMALROLL
273,484,587,484,587,506,273,506,BLUE-57MMx60MMx12MM
273,510,418,510,418,536,273,536,(10ROLL/PKT)
82,541,207,541,207,567,82,567,1X 35.0000
470,544,541,544,541,565,470,565,35.00
547,542,586,542,586,565,547,565,SR
31,578,344,578,344,604,31,604,Total Sales Inclusive GST @6%
469,582,532,582,532,605,469,605,35.00
241,610,332,610,332,636,241,636,Discount
478,614,529,614,529,637,478,637,0.00
238,650,298,650,298,677,238,677,Total
472,654,533,654,533,677,472,677,35.00
241,682,350,682,350,708,241,708,Round Adj
481,683,536,683,536,711,481,711,0.00
241,722,347,722,347,748,241,748,Final Total
472,726,533,726,533,748,472,748,35.00
241,777,306,777,306,804,241,804,CASH
471,778,535,782,533,810,470,805,40.00
244,812,331,812,331,834,244,834,CHANGE
482,814,532,814,532,837,482,837,5.00
31,850,177,855,176,883,30,878,GST Summary
255,850,390,854,389,881,254,878,Amount(RM)
481,855,571,855,571,881,481,881,Tax(RM)
30,887,132,887,132,913,30,913,SR @ 6%
326,886,391,886,391,913,326,913,33.02
520,887,572,887,572,915,520,915,1.98
33,967,294,967,294,988,33,988,INV NO:CS-SA-0086229
319,968,520,968,520,990,319,990,Date22/05/2017
73,1099,571,1099,571,1119,73,1119,Goods sold are not Returnable & Refundabie
121,1149,526,1149,526,1169,121,1169,THANKYOUFORYOURPATRONAGE
201,1181,443,1181,443,1203,201,1203,PLEASECOMEAGAIN
124,1223,521,1223,521,1244,124,1244,TERIMAKASIH SILADATANGLAGI
72,1272,574,1275,573,1296,72,1293,**PLEASEKEEPTHISRECEIPTFORPROVEOF
55,1305,589,1307,589,1329,55,1327,PURCHASE DATEFORI.TPRODUCTWARRANTY
247,1335,396,1331,397,1359,247,1362,PURPOSE **
91,1387,554,1390,554,1416,91,1413,Follow us in Facebook:Sanyu.Stationery
