161,337,648,347,647,384,160,374,99 SPEED MART 5/B (519537-X
211,388,601,394,601,431,210,425,LOT P.T.33198.BATU 4
192,438,613,445,613,482,191,475,JALAN KAPAR, MUKIM KAPAR
228,489,596,496,595,533,228,526,42100 KLANG, SELANGOR
242,540,560,545,559,582,242,577,1181-TMN SRI SINAR
190,591,632,598,632,633,190,626,GST ID.NO 000181747712
171,691,661,696,661,732,171,726,INVOICE NO:17556/103/T0503
64,789,192,789,192,828,64,828,09:23PM
361,791,475,791,475,835,361,835,559412
625,795,774,795,774,837,625,837,24-01-16
64,891,484,895,483,932,64,928,8019 MARIGOLD HL MILK 1L
607,891,774,895,773,939,606,935,RM13.585
94,942,309,946,309,983,93,979,2XRM6.79
62,1043,592,1044,592,1081,62,1080,Total Sales (Inclusive GST RM
642,1043,737,1043,737,1087,642,1087,13.58
204,1095,590,1095,590,1132,204,1132,Rounding Adjustment RM
675,1094,737,1094,737,1136,675,1136,.02
395,1145,594,1145,594,1187,395,1187,Rounding RM
644,1146,736,1146,736,1185,644,1185,13.60
464,1196,592,1196,592,1234,464,1234,CASH RM
641,1192,736,1192,736,1236,641,1236,14.00
430,1243,596,1243,596,1285,430,1285,CHANGE RM
675,1245,739,1245,739,1287,675,1287,.40
58,1339,258,1346,256,1389,57,1383,GST Summary
344,1343,521,1343,521,1386,344,1386,AmoUnt(RM)
623,1345,748,1345,748,1384,623,1384,TaxRM)
53,1395,170,1390,171,1434,55,1439,5=61
428,1393,525,1393,525,1437,428,1437,12.82
689,1394,755,1394,755,1437,689,1437,.76
150,1545,644,1549,644,1586,150,1582,Thank You. Please come again
59,1598,748,1602,747,1637,59,1633,Keep the invoice for applicable returns
